Row Labels,Average of ANNUAL
ACRE,4643.636364
ALAGOAS,5325.22549
AMAPÁ,4706.5625
AMAZONAS,4499.790323
BAHIA,5289.681055
CEARÁ,5672.23913
DISTRITO FEDERAL,5430
ESPÍRITO SANTO,4982.897436
GOIÁS,5474.678862
MARANHÃO,5215.677419
MATO GROSSO,5139.851064
MATO GROSSO DO SUL,5192.037975
MINAS GERAIS,5194.750293
PARÁ,4815.791667
PARAÍBA,5653.349776
PARANÁ,4976.867168
PERNAMBUCO,5427.076087
PIAUÍ,5744.397321
RIO DE JANEIRO,4929.717391
RIO GRANDE DO NORTE,5747.386905
RIO GRANDE DO SUL,4749.280242
RONDÔNIA,4671.653846
RORAIMA,4909.533333
SÃO PAULO,5149.173643
SANTA CATARINA,4535.166102
SERGIPE,5323.733333
TOCANTINS,5284.028777
Grand Total,5170.985994