STATE,ANNUAL
Acre,2164.636364
Alagoas,2175.058824
Amapá,2218.0625
Amazonas,2162.467742
Bahia,2127.990408
Ceará,2119.423913
Distrito Federal,2088
Espírito Santo,2027.179487
Goiás,2000.333333
Maranhão,2167.124424
Mato Grosso,2039.510638
Mato Grosso do Sul,1874.620253
Minas Gerais,2027.253224
Pará,2194.902778
Paraíba,2146.174888
Paraná,1891.776942
Pernambuco,2191.407609
Piauí,2046.473214
Rio de Janeiro,1939.119565
Rio Grande do Norte,2117.934524
Rio Grande do Sul,1805.681452
Rondônia,2141.807692
Roraima,2178.8
São Paulo,1930.652713
Santa Catarina,1903.138983
Sergipe,2161.84
Tocantins,2057.230216
Grand Total,2018.969653