STATE,PAR,DIFFUSE
Acre,2292.590909,2164.636364
Alagoas,2318.078431,2175.058824
Amapá,2275.0625,2218.0625
Amazonas,2320.16129,2162.467742
Bahia,2286.374101,2127.990408
Ceará,2412.711957,2119.423913
Distrito Federal,2300,2088
Espírito Santo,2157.948718,2027.179487
Goiás,2377.654472,2000.333333
Maranhão,2373.926267,2167.124424
Mato Grosso,2361.971631,2039.510638
Mato Grosso do Sul,2339.860759,1874.620253
Minas Gerais,2229.475967,2027.253224
Pará,2326.048611,2194.902778
Paraíba,2379.233184,2146.174888
Paraná,2215.293233,1891.776942
Pernambuco,2314.195652,2191.407609
Piauí,2473.232143,2046.473214
Rio de Janeiro,2148.51087,1939.119565
Rio Grande do Norte,2422.720238,2117.934524
Rio Grande do Sul,2098.814516,1805.681452
Rondônia,2319.538462,2141.807692
Roraima,2334.266667,2178.8
São Paulo,2261.403101,1930.652713
Santa Catarina,2025.681356,1903.138983
Sergipe,2330.626667,2161.84
Tocantins,2405.410072,2057.230216