STATE,ANNUAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ACRE,3339.5,2564.318182,2674.772727,2026.272727,3123.818182,3195.409091,3915.318182,4235.727273,4658.318182,4026.863636,3675.227273,3345.318182,2632.954545
ALAGOAS,4681.490196,5437.078431,4935.196078,5262.617647,4540.245098,3689.901961,3452.960784,3474.852941,4032.117647,4728.27451,4957.529412,5850.313725,5815.715686
AMAPÁ,3324.125,2596.6875,1814.75,1647.4375,1986.375,3086.0625,4031,4186.0625,4481.1875,4387.1875,4301.5625,4193.5,3177.3125
AMAZONAS,2977.645161,2174.096774,2263.322581,2100.629032,2148.096774,2385.822581,3626.532258,3659.258065,4285.854839,3836.951613,3488.451613,3188.193548,2574.387097
BAHIA,4660.59952,5396.59952,5150.031175,4936.776978,4289.41247,4051.573141,3958.28777,4136.189448,4511.458034,4905.167866,4672.592326,4586.18705,5331.995204
CEARÁ,5269.76087,4573.581522,4279.663043,4281.951087,4040.032609,4929.11413,5320.63587,5767.581522,6531.141304,6303.668478,6055.36413,5995.108696,5158.032609
DISTRITO FEDERAL,4895,3652,4295,3663,4822,5717,6196,6553,7405,5518,4447,3024,3447
ESPÍRITO SANTO,4307.320513,5041.051282,5666.269231,4419.076923,4298.961538,4114.423077,4281.961538,4132.564103,4611.641026,4190.064103,3599.435897,3024.653846,4306.794872
GOIÁS,5046.45122,4089.036585,4412.239837,4197.638211,5410.121951,5932.747967,6009.776423,6158.829268,6871.211382,5236.764228,4616.890244,3695.784553,3925.313008
MARANHÃO,4382.400922,3189.023041,3014.281106,3018.709677,3476.304147,4403.677419,5445.562212,5606.16129,5986.981567,5632.870968,4765.230415,4266.857143,3782.995392
MATO GROSSO,4333.58156,3481.858156,3405.900709,3548.758865,4386.787234,4984.659574,5482.113475,5555.382979,5730.319149,4210.070922,3884.723404,3678.439716,3653.815603
MATO GROSSO DO SUL,4765.21519,4722.126582,4789.329114,4907.303797,4932.683544,4407.21519,4444.822785,4478.721519,5418.64557,4310.012658,4494.848101,4960.063291,5315.949367
MINAS GERAIS,4596.574443,4364.393904,5095.459555,4106.54279,4696.375147,4634.169988,4828.132474,5043.533411,5770.567409,4906.54279,4303.995311,3309.821805,4098.644783
PARÁ,3563.527778,2734.826389,2318.763889,2277.722222,2689.180556,3731.611111,4810.319444,4744.840278,4860.597222,4209.930556,3762.75,3585.479167,3036.597222
PARAÍBA,5247.887892,5291.869955,5028.995516,5310.013453,5139.856502,4739.695067,4392.798206,4623.390135,5490.659193,5619.928251,5696.892377,6027.744395,5612.358744
PARANÁ,4426.776942,4822.676692,4705.606516,4707.373434,4550.030075,3803.526316,3641.245614,3861.857143,5036.288221,3800.802005,4104.042607,4911.614035,5176.182957
PERNAMBUCO,4782.777174,5187.277174,4792.755435,5088.146739,4657.097826,3988.086957,3665.461957,3787.967391,4586.016304,5111.717391,5196.016304,5759.108696,5572.690217
PIAUÍ,5523.03125,4448.986607,4049.700893,4145.236607,4538.888393,5504.075893,6194.589286,6549.566964,6972.491071,6688.84375,6214.96875,5821.553571,5146.035714
RIO DE JANEIRO,4268.01087,4775.706522,5599.717391,4220.184783,4372.804348,4017.5,4239.565217,4100.48913,4890.923913,3934.380435,3703.434783,3114.01087,4247.217391
RIO GRANDE DO NORTE,5476.505952,5437.815476,5173.035714,5352.910714,5229.785714,5165.071429,4843.696429,5162.696429,5927.666667,5823,5900.535714,6122.994048,5578.202381
RIO GRANDE DO SUL,4275.479839,5740.391129,5278.756048,4770.770161,4209.752016,3262.326613,2711.679435,3099.794355,3738.788306,2918.78629,3938.836694,5618.866935,6016.675403
RONDÔNIA,3328.346154,2135.961538,2031.730769,2406.519231,3321.288462,3397.442308,4615.711538,4697.288462,4492.576923,3452.807692,3599.346154,3160.230769,2629.423077
RORAIMA,3749.066667,3602.933333,3245.333333,3342.2,3071.4,2767.2,3510.933333,3654.2,4226.2,4744.6,4599.266667,4409.466667,3816.066667
SÃO PAULO,4620.565891,4154.927132,4808.63876,4405.902326,4924.834109,4489.503876,4541.469767,4689.713178,5657.579845,4271.889922,4343.767442,4389.11938,4769.124031
SANTA CATARINA,3686.186441,4541.20339,4269.338983,4091.840678,3757.488136,3198.505085,2722.905085,2975.630508,3830.844068,2626.088136,3039.091525,4499.566102,4681.644068
SERGIPE,4732.066667,5681.173333,5179.653333,5316.386667,4487.093333,3764.066667,3706.826667,3679.666667,4070.266667,4664.493333,4870.56,5614.653333,5748.8
TOCANTINS,4608.338129,3479.482014,3348.784173,3280.827338,4210.640288,5462.172662,6207.582734,6287.510791,6732.676259,5423.705036,4092.151079,3396.942446,3377.064748
Grand Total,4567.469743,4543.835338,4588.100557,4309.453044,4432.658287,4313.014724,4399.726342,4593.332376,5280.343509,4585.00826,4477.574609,4547.778775,4738.261627