STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Acre,4589.681818,4701.954545,4240.181818,4449.045455,4052.681818,4108.045455,4319.090909,4949.954545,5106.954545,5079.454545,4975,4651.045455
Alagoas,6031.637255,5902.833333,5896.196078,5143.382353,4311.470588,3960.960784,4067.911765,4690.127451,5493.735294,5826.509804,6321.323529,6273.313725
Amapá,4293.3125,4100.9375,4089.625,4160.375,4481.9375,4722.0625,4914.8125,5278.125,5441,5328.8125,5125.6875,4524
Amazonas,4215.096774,4407.209677,4301.322581,4128.725806,3964.951613,4321.483871,4383.532258,4993.387097,5059.387097,4967.790323,4766.225806,4405.080645
Bahia,6125.517986,6046.784173,5709.685851,4876.693046,4258.63789,3954.167866,4172.985612,4761.035971,5490.455635,5675.568345,5730.095923,6141.601918
Ceará,5467.266304,5522.277174,5488.461957,5077.711957,5096.407609,5019.820652,5337.548913,6041.831522,6424.538043,6397.36413,6318.076087,5789.065217
Distrito Federal,5332,5644,5000,4965,4798,4719,5019,5903,5712,5545,5017,5362
Espírito Santo,6047.179487,6219.923077,5198.794872,4503.25641,3839.910256,3589.794872,3675.615385,4341.769231,4809.358974,4971.666667,4915.141026,5739.410256
Goiás,5542.552846,5677.638211,5235.414634,5163.292683,4838.455285,4594.463415,4824.788618,5657.873984,5524.658537,5582.674797,5366.772358,5565.504065
Maranhão,4760.677419,4858.359447,4843.271889,4810.276498,4861.976959,5081.847926,5270.548387,5794.774194,6036.585253,5682.552995,5357.193548,5055.202765
Mato Grosso,5160.843972,5135.978723,4950.049645,4860.673759,4581.985816,4539.269504,4734.361702,5360.276596,5153.921986,5246.843972,5260.666667,5325.851064
Mato Grosso do Sul,5842.379747,5754,5344.012658,4700.316456,3863.177215,3564.873418,3729.962025,4644.329114,4829.506329,5425.582278,5926.025316,6277.860759
Minas Gerais,5764.22626,6007.171161,5104.354045,4708.05041,4092.256741,3870.100821,4094.941383,4905.12075,5200.43728,5387.742087,5146.907386,5705.794842
Pará,4495.458333,4466.402778,4447.180556,4454.583333,4606.493056,4865.659722,4944.131944,5311.277778,5314.027778,5138.319444,4977.659722,4648.354167
Paraíba,5930.107623,5956.255605,5985.578475,5543.874439,4930.008969,4500.748879,4705.506726,5461.336323,6021.44843,6226.869955,6403.349776,6123.103139
Paraná,5946.035088,5673.884712,5151.160401,4357.513784,3435.33584,3064.43609,3283.626566,4248.989975,4427.075188,5160.932331,5948.453634,6260.606516
Pernambuco,5925.641304,5861.179348,5877.505435,5280.423913,4533.195652,4136.913043,4290.804348,5017.25,5751.494565,5997.684783,6297.994565,6156.831522
Piauí,5433.982143,5416.65625,5392.620536,5227.46875,5221.700893,5258.142857,5560.790179,6198.379464,6559.830357,6398.540179,6152.9375,5788.013393
Rio de Janeiro,5917.793478,6168.369565,5023.184783,4402.543478,3649.434783,3412.326087,3484.717391,4295.793478,4558.543478,4979.347826,4979.978261,5758.684783
Rio Grande do Norte,5940.315476,5980.184524,5980.565476,5590.214286,5129.589286,4741.511905,4979.714286,5690.267857,6129.654762,6304.571429,6404.833333,6036.535714
Rio Grande do Sul,6303.28629,5820.697581,4949.358871,3920.052419,2930.020161,2440.092742,2715.447581,3455.90121,3792.699597,4925.695565,6187.290323,6601.028226
Rondônia,4432.576923,4412.846154,4442.076923,4491.557692,4074.115385,4348.326923,4478.942308,4910.346154,4912.903846,5090.173077,4922.307692,4721.211538
Roraima,4627.333333,4749.266667,4941.2,4764,4424.866667,4614.933333,4692.8,5162.6,5532.066667,5415.2,5135.6,4724.6
São Paulo,5653.116279,5808.64186,5120.271318,4644.336434,3851.92093,3577.883721,3759.948837,4679.07907,4760.917829,5348.103876,5711.311628,6077.756589
Santa Catarina,5780.569492,5392.579661,4745.850847,3850.698305,3016.779661,2554.955932,2782.342373,3586.00678,3751.098305,4542.122034,5672.857627,5981.132203
Sergipe,6166.76,6007.16,5890.4,5048.84,4262.026667,3986.08,4090.133333,4645.373333,5416.786667,5764.093333,6230.733333,6277.093333
Tocantins,5056.294964,5096.280576,4905.280576,4940.482014,5021.115108,5102.381295,5307.582734,5924.179856,5794.043165,5337.230216,5043.870504,5030.460432
Grand Total,5696.097684,5676.051894,5209.939666,4705.555755,4131.779673,3897.07452,4105.67786,4850.870533,5135.395942,5459.083139,5687.211169,5871.466152