REGION,MONTH,VALUE
Mid West,JAN,5469.444141
North,JAN,4529.964949
Northeast,JAN,5753.545057
South,JAN,6009.963623
Southeast,JAN,5845.578876
Mid West,FEB,5552.904234
North,FEB,4562.128271
Northeast,FEB,5727.965539
South,FEB,5629.053985
Southeast,FEB,6051.026416
Mid West,MAR,5132.369234
North,MAR,4480.981065
Northeast,MAR,5673.809522
South,MAR,4948.79004
Southeast,MAR,5111.651255
Mid West,APR,4922.320725
North,APR,4484.1099
Northeast,APR,5177.653916
South,APR,4042.754836
Southeast,APR,4564.546683
Mid West,MAY,4520.404579
North,MAY,4375.165878
Northeast,MAY,4733.890501
South,MAY,3127.378554
Southeast,MAY,3858.380678
Mid West,JUN,4354.401584
North,JUN,4583.270443
Northeast,JUN,4515.577101
South,JUN,2686.494921
Southeast,JUN,3612.526375
Mid West,JUL,4577.028086
North,JUL,4720.127522
Northeast,JUL,4719.549283
South,JUL,2927.13884
Southeast,JUL,3753.805749
Mid West,AUG,5391.369924
North,AUG,5218.552919
Northeast,AUG,5366.708457
South,AUG,3763.632655
Southeast,AUG,4555.440632
Mid West,SEP,5305.021713
North,SEP,5308.626157
Northeast,SEP,5924.947667
South,SEP,3990.29103
Southeast,SEP,4832.31439
Mid West,OCT,5450.025262
North,OCT,5193.854301
Northeast,OCT,6030.417217
South,OCT,4876.249977
Southeast,OCT,5171.715114
Mid West,NOV,5392.616085
North,NOV,4992.335889
Northeast,NOV,6135.170844
South,NOV,5936.200528
Southeast,NOV,5188.334575
Mid West,DEC,5632.803972
North,DEC,4672.107462
Northeast,DEC,5960.084525
South,DEC,6280.922315
Southeast,DEC,5820.411618